Sujet,Ecart,Risque,Priorite,Owner,Decision,Source preuve,Regle gate,Resultat gate,Sign-off par,Sign-off date,Statut,runtime_proof,evidence_link,evidence_date,validated_by,line_id,required_evidence,validation_rule,computed_runtime_proof,computed_gate_result,blocking_scope
V0-auth-context-truth,Ambiguite context switch driver/company,Risque de token/context incoherent,P0,Platform-Mobile,Contexts-only via switchContext; switchToDriverToken non supporte en unified mobile,docs/migration/COMPANY_V0_DECISIONS.md,Pass si aucune route company ne depend de switchToDriverToken et context_id actif reste stable,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
V0-dispatch-semantics-source,Source KPI dispatch/optimizer non explicite,Faux positifs dashboard/P1 invalides,P0,Dispatch-Backend,dispatch status = scheduler runtime ; optimizer expose separement,docs/migration/COMPANY_V0_DECISIONS.md,Pass si KPI strip et mode dispatch lisent la meme source definie,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
V0-standardapi-scope,Scope StandardApi pilote trop large,Derive planning + retard migration,P0,Product-Company,Scope pilote = clients + stays + billing parties (clinic mappings read-only),docs/migration/COMPANY_V0_DECISIONS.md,Pass si seules surfaces pilote consomment standardApi minimal,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
V0-realtime-fallback,Strategie fallback non figee,Dashboard stale en prod,P0,Realtime-Mobile,Socket + polling fallback (degraded/failed watchdog),src/features/company/realtime/companyRealtimeBridge.test.ts,Pass si reconnect/fallback maintient data sans refresh manuel,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
P0-scheduleRide,Absence endpoint explicite scheduleRide,Pipeline dispatch incomplet,P0,Dispatch-Mobile,POST /dispatch/v1/rides/:id/schedule payload explicit,docs/PILOT_EXECUTION_LOG.md#s1---create-schedule-ride,Pass si ride planifiee visible rides+dashboard+ride-details et backend coherent,Not run,Lead mobile,TBD,In progress,code-only,,,,,,,,,
P0-cancelRide-parity,Payload cancel incomplet (reason uniquement),Perte audit trail + divergence backend,P0,Dispatch-Mobile,Payload cancel: reason_code+note avec fallback legacy,docs/PILOT_EXECUTION_LOG.md#s3---cancel-ride-reason_code-note,Pass si reason_code et note persists backend et refletes UI,Not run,Backend dispatch,TBD,In progress,code-only,,,,,,,,,
P0-urgent-propagation,Urgent non type et non trace en detail,Risque priorisation dispatch,P0,Dispatch-Mobile,Payload urgent type + metadata optional,docs/PILOT_EXECUTION_LOG.md#s2---urgent-propagation,Pass si urgent visible pipeline dispatch (rides/detail/dashboard),Not run,Ops dispatch,TBD,In progress,code-only,,,,,,,,,
P0-dispatch-status-endpoint,Status dispatch confondu optimizer,Incoherence KPI/mode dispatch,P0,Dispatch-Mobile,Endpoint getDispatchStatus(date?) distinct optimizer,docs/PILOT_EXECUTION_LOG.md#s6---dispatch-semantics-validation-layer-3,Pass si dashboard source verite choisie sans ambiguite,Not run,Product + Backend,TBD,In progress,code-only,,,,,,,,,
P0-realtime-ride_updated,Invalidation partielle mission/detail,Ecrans stale,P0,Realtime-Mobile,Map event ride_updated -> booking_updated + invalidate list/detail,docs/PILOT_EXECUTION_LOG.md#s4a---realtime-dispatch-ride_updated,Pass si updates successifs sans refresh manuel,Not run,Mobile runtime,TBD,In progress,code-only,,,,,,,,,
P0-realtime-ride_cancelled,Cancel realtime incomplet,Ride fantome en liste,P0,Realtime-Mobile,Map ride_cancelled -> booking_cancelled + invalidate list,docs/PILOT_EXECUTION_LOG.md#s4b---realtime-dispatch-ride_cancelled,Pass si disparition ride sans refresh manuel,Not run,Mobile runtime,TBD,In progress,code-only,,,,,,,,,
P0-realtime-delay_invalidated,Delay invalidation incomplet,KPI delays faux,P0,Realtime-Mobile,Map delay_invalidated -> refresh dashboard + missions,docs/PILOT_EXECUTION_LOG.md#s4c---realtime-dispatch-delay_invalidated,Pass si KPI delay se recalcule sans refresh manuel,Not run,Mobile runtime,TBD,In progress,code-only,,,,,,,,,
P0-realtime-company_dispatch_update,Event aggregate non gere,Desync multi-widgets,P0,Realtime-Mobile,company_dispatch_update force refresh aggregate,src/core/realtime/eventContracts.test.ts + app/(app)/(company)/dashboard.tsx,Pass si dashboard/rides/ride-details restent coherents 3 events consecutifs,Pass,Mobile runtime,2026-04-18,Proven,device-tested,,,,,,,,,
P0-chat-delivery,Chat sans pagination/reconnect robuste,Perte coordination dispatch,P0,Realtime-Mobile,Cursor pagination before + optimistic pending + retry,app/(app)/(company)/chat.tsx + src/features/company/hooks.ts,Pass si send/receive/pagination/reconnect stables,Pass,Mobile runtime,2026-04-18,Proven,device-tested,,,,,,,,,
S1-create-schedule-visible,Flux JTBD non prouve,Risque rollout create/schedule,P0,QA-Dispatch,Scenario gate S1 obligatoire,docs/PILOT_EXECUTION_LOG.md#s1---create-schedule-ride,Pass si create->schedule->visible dispatch sur 1 run complet,Not run,Lead mobile,TBD,In progress,code-only,,,,CMP-P0-S1,company_jtbd_execution.md,S1 create/schedule valide,pending-evidence,missing-proof,company_p0
S2-urgent-propagation,Flux urgent non prouve,Risque priorisation dispatch,P0,QA-Dispatch,Scenario gate S2 urgent propagation,docs/PILOT_EXECUTION_LOG.md#s2---urgent-propagation,Pass si urgent visible rides+details+dashboard et backend urgent=true,Not run,Ops dispatch,TBD,In progress,code-only,,,,CMP-P0-S2,company_jtbd_execution.md,S2 urgent propagation valide,pending-evidence,missing-proof,company_p0
S3-cancel-parity,Flux cancel audit trail non prouve,Risque audit incomplet,P0,QA-Dispatch,Scenario gate S3 cancel reason_code+note,docs/PILOT_EXECUTION_LOG.md#s3---cancel-ride-reason_code-note,Pass si reason_code+note persists backend et UI convergente,Not run,Backend dispatch,TBD,In progress,code-only,,,,CMP-P0-S3,company_jtbd_execution.md,S3 cancel reason_code+note valide,pending-evidence,missing-proof,company_p0
S4a-realtime-ride-updated,Flux realtime ride_updated non prouve,Risque stale updates,P0,QA-Dispatch,Scenario gate S4a event ride_updated,docs/PILOT_EXECUTION_LOG.md#s4a---realtime-dispatch-ride_updated,Pass si ride_updated invalide list+detail sans refresh manuel,Not run,Mobile runtime,TBD,In progress,code-only,,,,CMP-P0-S4A,company_jtbd_execution.md,S4a socket + REST + UI coherents,pending-evidence,missing-proof,company_p0
S4b-realtime-ride-cancelled,Flux realtime ride_cancelled non prouve,Risque stale cancellations,P0,QA-Dispatch,Scenario gate S4b event ride_cancelled,docs/PILOT_EXECUTION_LOG.md#s4b---realtime-dispatch-ride_cancelled,Pass si ride_cancelled retire la ride active sans refresh manuel,Not run,Mobile runtime,TBD,In progress,code-only,,,,CMP-P0-S4B,company_jtbd_execution.md,S4b socket + REST + UI coherents,pending-evidence,missing-proof,company_p0
S4c-realtime-delay-invalidated,Flux realtime delay_invalidated non prouve,Risque KPI stale,P0,QA-Dispatch,Scenario gate S4c event delay_invalidated,docs/PILOT_EXECUTION_LOG.md#s4c---realtime-dispatch-delay_invalidated,Pass si delay_invalidated recalcule KPI sans refresh manuel,Not run,Mobile runtime,TBD,In progress,code-only,,,,CMP-P0-S4C,company_jtbd_execution.md,S4c socket + REST + UI coherents,pending-evidence,missing-proof,company_p0
S5-reconnect-recovery,Reprise apres incident non prouve,Risque perte etat dispatch,P0,QA-Dispatch,Scenario gate S5 (socket drop puis recover),docs/PILOT_EXECUTION_LOG.md#s5---socket-reconnect-convergence,Pass si etat dispatch redevient coherent apres reconnect/fallback,Not run,Mobile runtime + Ops terrain,TBD,In progress,code-only,,,,CMP-P0-S5,company_jtbd_execution.md;realtime_reconnect.log.md,S5 reconnect convergence valide,pending-evidence,missing-proof,company_p0
S6-dispatch-semantics,Semantics source verite non prouvee terrain,Risque KPI faux positifs,P0,QA-Dispatch,Scenario gate S6 dispatch semantics Layer 3,docs/PILOT_EXECUTION_LOG.md#s6---dispatch-semantics-validation-layer-3,Pass si dashboard KPI/modes/status alignes backend source verite,Not run,Product + Backend,TBD,In progress,code-only,,,,CMP-P0-S6,company_jtbd_execution.md;dispatch_semantics_validation.md,dispatch_mode/state/optimizer coherents sur 4 couches,pending-evidence,missing-proof,company_p0
P1-dashboard-visible,KPI/opportunites limités,Parite visible partielle,P1,Frontend-Company,Enrichir strip KPI + freshness + actions,app/(app)/(company)/dashboard.tsx,Pass si dashboard couvre KPI + stale warning + actions utiles,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
P1-rides-visible,Actions planif/urgent/incident partiels,UX dispatch degradee,P1,Frontend-Company,Actions explicites schedule/urgent/cancel/filter parity,app/(app)/(company)/rides.tsx,Pass si operateur pilote execute actions clefs sans workaround,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
P1-ride-details-visible,Detail metier incomplet,Risque erreurs operationnelles,P1,Frontend-Company,Ride detail enrichi + notes + assign/transfer robuste,app/(app)/(company)/ride-details.tsx,Pass si detail supporte assign/urgent/cancel/transfer + metadonnees,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
P1-chat-visible,UX chat sans load-more/pending/error states,Risque de support incident,P1,Frontend-Company,Chat with load-more + pending state + retry,app/(app)/(company)/chat.tsx,Pass si charge historique + envoi/resend + erreurs visibles,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
P1-settings-metier,Settings limites a session,Pilotage incomplet,P1,Frontend-Company,Settings dispatch mode/billing + truth source visible,app/(app)/(company)/settings.tsx,Pass si settings exposent toggles metier sans endpoint legacy,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
P2-standardapi-clients,Creation client standard non branchée,Risque blocage onboarding,P2,Backend-Company,Adapter companyStandardApi create/search client,src/features/company/api/companyStandardApi.ts + ClientCreateModal.tsx,Pass si client cree via standardApi minimal,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
P2-standardapi-stays,Creation stay absente,Risque blocage hospitalisation,P2,Backend-Company,Adapter createClientStay minimal,useRideForms.ts + companyStandardApi.test.ts,Pass si stay cree et relie client depuis UI pilote,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
P2-standardapi-billing-parties,Assign billing party absent,Risque facturation pilote,P2,Backend-Company,Adapter fetchBillingParties + linkClientBillingParty,useRideForms.ts + companyStandardApi.test.ts,Pass si billing party assignee et visible detail client,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
P2-advanced-components,Composants enterprise avances manquants,Confort operateur reduit,P2,Frontend-Company,RideSnippetCard/NotesEditor/AssignFab/EnterpriseSheet minimal,src/features/company/components/* + integrations rides/ride-details,Pass si composants utilises en flux pilote et sans regression,Pass,Equipe mobile,2026-04-18,Proven,device-tested,,,,,,,,,
