Sujet,Ecart observe,Risque,Priorite,Owner,Decision,Source de preuve,Regle de gate,Resultat gate,Sign-off par,Sign-off date,Statut,runtime_proof,evidence_link,evidence_date,validated_by,line_id,required_evidence,validation_rule,computed_runtime_proof,computed_gate_result,blocking_scope
Context switch,legacy switch token vs contexts unified,eleve,P0,Backend/Auth,contexts only avec fallback legacy non mobile,sessionProvider logs + parcours pilote reels,Decision Vague0 signee ET parcours login->switchContext->mission valide sur comptes pilote,Not run,,,In progress,code-only,,,,,,,,,
Mission active,selection potentiellement divergente vs operations,eleve,P0,Mobile Driver,aligner sur filterNextMissionsOnly operations-like,5 scenarios de reference traces dans pilot log,S1..S5 renvoient le meme missionId qu'operations ou chaque divergence a un Accepted gap signe,Not run,,,In progress,code-only,,,,DRV-P0-MISSION-ACTIVE,mission_lifecycle_convergence.log.md,Transitions mission lifecycle alignees backend,pending-evidence,missing-proof,"g5,g6"
Quick action push,deep link actionIdentifier et action payload,eleve,P0,Mobile Driver + QA Device,mapper actionIdentifier Expo et valider quick actions,logs notifications provider + traces device Android/iOS,N=5 runs Android et N=5 runs iOS sans divergence missionId/statut backend,Not run,,,In progress,flagged-off,,,,DRV-P0-QUICK-ACTION,quick_actions_campaign.csv.md,success_rate >= 95% et N >= 30,pending-evidence,failed-threshold,g4
Silent background mission refresh,pas de task dedicated equivalente silentNotifications.ts,eleve,P0/P1,Mobile Runtime + Product,ecart acceptable conditionnel sous preuve runtime,missionSyncOrchestrator + locationTask + syncEngine telemetry,Mecanisme de refresh post-notification et resume valide sur scenarios Vague0,Not run,,,In progress,flagged-off,,,,DRV-P0-REALTIME-RECONNECT,realtime_reconnect.log.md,socket<5s + no stale + fallback + socket/rest/ui,pending-evidence,missing-proof,g2
Silent background garanties mitigation,preuve d'acceptabilite absence portage complet,eleve,P0/P1,Mobile Runtime + Ops,mitigation documentee avec alerting ACK/latence,metrics G2/G3/G7 + pilot execution log,Seuils tracking/reconnect respectes pendant fenetre pilote sans incident P0,Not run,,,In progress,flagged-off,,,,DRV-P0-AUTH-REFRESH,auth_refresh_session.log.md,refresh auto + switch context + crash free,pending-evidence,missing-proof,g7
Tracking reconcile,politiques cadence et convergence a certifier,eleve,P0,Mobile Runtime + Ops Terrain,certifier invariants obligatoires par sous-table tracking,driverTrackingBridge tests + terrain logs,Toutes les lignes TRACK-* sont Proven/Accepted gap/Wontfix signees,Not run,,,In progress,code-only,,,,,,,,,
Mission grouping,list missions non groupee historiquement,moyen,P1,Mobile Driver,grouping par pickup fenetre 5min,screen missions + snapshots manuels,Validation UX pilote sur flux mission list,Not run,,,In progress,code-only,,,,,,,,,
Trips trip-details,pas de route details dediee initialement,moyen,P1,Mobile Driver,route trips/[tripId] et fallback detail mission,trips screen + trip detail screen,Parcours active/history -> detail sans erreur sur cohortes tests,Not run,,,In progress,code-only,,,,,,,,,
Chat pieces jointes,parite partielle pieces jointes,moyen,P1,Mobile Driver,maintenir image/pdf upload socket et pagination,chat screen manuels + telemetry chat,3 parcours manuels (image/pdf/load-more) executes sans regressions,Not run,,,In progress,code-only,,,,,,,,,
Driver test push endpoint,endpoint absent avant implementation,faible-moyen,P1/P2,Mobile Runtime,exposer triggerDriverTestPush dans API + profil,api test + bouton profil,Call /driver/me/test-push reussi en staging,Not run,,,In progress,device-tested,,,,,,,,,
Web map layout debug,hors cible critique pilote natif,faible,P2,Mobile Driver,ecart acceptable scope pilote natif,missionMap.web + runbook scope,Hors perimetre pilote acté en comité,Not run,,,Open,code-only,,,,,,,,,
TRACK-cadence-mission,comparaison cadence mission ops vs bridge unified,eleve,P0,Mobile Runtime,aligner mode mission_live et flush queue,driverTrackingBridge tests + terrain,Cadence mission dans tolerance pilote definie,Not run,,,In progress,flagged-off,,,,DRV-P0-TRACK-CADENCE,tracking_background_android.log.md;tracking_background_ios.log.md,ack_rate >= 99% + p95 <= 8s + points >= 30,pending-evidence,missing-proof,g3
TRACK-stop-conditions,conditions d'arret background a verifier,eleve,P0,Mobile Runtime,utiliser backgroundTrackingGating comme canonique,tests services + pilot logs,Stop conditions respectees (mission terminee/cancellee/offline dur),Not run,,,In progress,flagged-off,,,,,,,,,
TRACK-offline-persistence,persistance queue tracking apres kill/relaunch,eleve,P0,Mobile Runtime,persister queue AsyncStorage + replay,trackingQueue snapshot + runtime resume tests,Replay queue complet apres relaunch sans perte d'evenements,Not run,,,In progress,flagged-off,,,,DRV-P0-OFFLINE-REPLAY,offline_replay_session.log.md,no duplication + no loss + convergence<10s,pending-evidence,missing-proof,g5
TRACK-retry-ack,ack accepted/duplicate/stale et retry fallback,eleve,P0,Mobile Runtime + Backend Tracking,certifier fallback socket->HTTP,telemetry ack_status + backend ingest logs,ACK acceptance >= seuil signe et pas de drift mission/tracking,Not run,,,In progress,flagged-off,,,,DRV-P0-TRACK-ACK,tracking_background_android.log.md;tracking_background_ios.log.md,ack_rate >= 99% + p95 <= 8s + dual platform,pending-evidence,missing-proof,g3
TRACK-resume-convergence,reprise foreground/background et resync mission,eleve,P0,Mobile Runtime,conserver runtimeResume + missionSync orchestration,runtimeResume tests + pilot scenarios,Scenarios resume/foreground passes sans divergence statut,Not run,,,In progress,flagged-off,,,,DRV-P0-RESUME-KILL,resume_after_kill.log.md,resume + queue flush + backend convergence<10s,pending-evidence,missing-proof,g6
