# Status: ARCHIVED
# Source of truth moved to docs/MIGRATION_CLOSEOUT_RUNBOOK.md
track,source_ops,cible_unified,action,gate,critere_acceptation,type_test,priorite
driver,mobile/operations-app/services/socket.ts,mobile/unified-app/src/features/driver/services/driverRealtimeBridge.ts|mobile/unified-app/src/core/realtime/realtimeManager.ts,Parite evenements + resync mission sur scenarios de reference,G1-G2,Reconnexion et resync alignes sur la meme sequence qu operations-app,Integration + shadow comparatif,P0
driver,mobile/operations-app/tasks/locationTask.ts,mobile/unified-app/tasks/locationTask.ts|mobile/unified-app/src/features/driver/services/driverTrackingBridge.ts,Port/equivalent task background valide backend,G3,Tracking background actif sur mission pilote avec ACK >=99% et latence P95 <=8s,Device reel iOS+Android,P0
driver,mobile/operations-app/services/locationTracker.ts|mobile/operations-app/services/locationQueue.ts,mobile/unified-app/src/features/driver/services/driverTrackingBridge.ts|mobile/unified-app/src/features/driver/services/driverTrackingQueue.ts,Rapprocher policy ACK stale replay,G3,Comportement equivalent documente ou ecart accepte signe,Shadow + backend metrics,P0
driver,mobile/operations-app/services/missionSyncOrchestrator.ts|mobile/operations-app/services/syncEngine.ts,mobile/unified-app/src/features/driver/runtimeResume.ts|mobile/unified-app/src/features/driver/services/missionSyncOrchestrator.ts|mobile/unified-app/src/features/driver/offlineQueue.ts,Aligner resync offline replay + relaunch-safe,G5-G6,Zero divergence non expliquee apres kill/relaunch et reprise reseau,E2E device + shadow,P0
driver,mobile/operations-app/services/firebaseMessaging.ts,mobile/unified-app/src/core/providers/NotificationsProvider.tsx+FCM_layer,Implementer parite canal push,G4,Token enregistre et push mission avec quick action fonctionnelle,Staging device reel,P0
driver,mobile/operations-app/services/api.ts,mobile/unified-app/src/features/driver/api.ts|mobile/unified-app/src/features/driver/api/driverHttp.ts,Etendre endpoints critiques driver,G2,Erreurs endpoints critiques dans seuil G2,Contract tests + shadow,P0
driver,mobile/operations-app/app/(tabs)/mission.tsx|mobile/operations-app/components/dashboard/MissionMap.tsx,mobile/unified-app/app/(app)/(driver)/missions.tsx+map_module,Port UI mission map ETA ou scope reduit signe,G7/scope,Si scope complet carte ETA utilisables comme ops sinon CR reduction scope archive,UX QA + terrain,P0
company,mobile/operations-app/components/enterprise/EnterpriseDriversMap.tsx,mobile/unified-app/app/(app)/(company)/dashboard.tsx|mobile/unified-app/src/features/company/realtime/useCompanyDriverLiveTracking.ts,Integration carte live entreprise,G8/company_scope,Ecart positions <= seuil signe en phase company post-driver,QA comparatif vs ops,P1
company,mobile/operations-app/services/enterpriseDispatch.ts,mobile/unified-app/src/features/company/api/companyApi.ts,Port mutations dispatch apres gate map,G6,Taux echec assign create update <= seuil G6,API + pilot,P0
company,mobile/operations-app/hooks/useEnterpriseSocket.ts,mobile/unified-app/src/features/company/realtime/companyRealtimeBridge.ts,Aligner evenements realtime company,G1,Invalidations React Query coherentes scenarios reference,Integration + shadow,P1
replacement,mobile/operations-app/app.config.js,mobile/unified-app/app.config.ts_or_equivalent,Aligner strategie plugins natifs EAS,G3-G4,Build prod-like reussi permissions conformes,CI build + device smoke,P0
replacement,Runbook_section_9_1,mobile/unified-app/docs/migration/SHADOW_PILOT_RUNBOOK_ONE_PAGER.md,Documenter release rollback escalade,G8,Drill rollback reel execute et preuve archivee,Drill + compte-rendu,P0
